Algorithm,Avg_WT,Avg_TAT,Avg_RT,Throughput,CPU_Util
SJF,3.75,8.75,3.75,0.17391304347826086,43.47826086956522
FCFS,4.0,9.0,4.0,0.17391304347826086,43.47826086956522
Priority,4.0,9.0,4.0,0.17391304347826086,43.47826086956522
RR,7.25,12.25,1.5,0.17391304347826086,43.47826086956522
FCFS,4.0,9.0,4.0,0.17391304347826086,43.47826086956522
FCFS,6.25,11.75,6.25,0.16,44.0
FCFS,8.5,15.0,8.5,0.14285714285714285,46.42857142857143
